"club_wikidata_id","team.value","capacity.value","longitude","latitude","image.value","teamLabel.value","venueLabel.value","team_twitter.value","number_of_players","popup_content"
"Q1120838","http://www.wikidata.org/entity/Q1120838","13602",9.07222222,45.81388889,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/StadioSinigaglia3bWiki.JPG' width='300' />","Calcio Como","Stadio Giuseppe Sinigaglia","unknown",1,"<h5>Calcio Como</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/StadioSinigaglia3bWiki.JPG' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Stadio Giuseppe Sinigaglia</td></tr><tr><td><b>Capacity:</b></td><td>13602</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q1128631","http://www.wikidata.org/entity/Q1128631","37914",-1.572222222,53.777777777,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Elland%20Road%20Stadium%20from%20Wortley.jpg' width='300' />","Leeds United A.F.C.","Elland Road","<a href='https://twitter.com/LUFC' target='_blank'>@LUFC</a>",1,"<h5>Leeds United A.F.C.</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Elland%20Road%20Stadium%20from%20Wortley.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Elland Road</td></tr><tr><td><b>Capacity:</b></td><td>37914</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/LUFC' target='_blank'>@LUFC</a></td></tr></table>"
"Q113000","http://www.wikidata.org/entity/Q113000","13213",4.486389,51.037222,"","KV Mechelen","Argosstadion Achter de Kazerne","unknown",1,"<h5>KV Mechelen</h5><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Argosstadion Achter de Kazerne</td></tr><tr><td><b>Capacity:</b></td><td>13213</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q1130849","http://www.wikidata.org/entity/Q1130849","45276",-2.960827777,53.430819444,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Anfield%2C%2020%20October%202012.jpg' width='300' />","Liverpool F.C.","Anfield","<a href='https://twitter.com/LFC' target='_blank'>@LFC</a>",12,"<h5>Liverpool F.C.</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Anfield%2C%2020%20October%202012.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>12</td></tr><tr><td><b>Stadium:</b></td><td>Anfield</td></tr><tr><td><b>Capacity:</b></td><td>45276</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/LFC' target='_blank'>@LFC</a></td></tr></table>"
"Q12297","http://www.wikidata.org/entity/Q12297","22000",-0.103611,39.944167,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/El%20Madrigal%20Stadium%2002.jpg' width='300' />","Villarreal Club de Fútbol","Estadio El Madrigal","unknown",1,"<h5>Villarreal Club de Fútbol</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/El%20Madrigal%20Stadium%2002.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Estadio El Madrigal</td></tr><tr><td><b>Capacity:</b></td><td>22000</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q128446","http://www.wikidata.org/entity/Q128446","50431",-8.583933,41.161758,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Est%C3%A1dio%20do%20Drag%C3%A3o%20%288468978586%29.jpg' width='300' />","F.C. Porto","Estádio do Dragão","unknown",2,"<h5>F.C. Porto</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Est%C3%A1dio%20do%20Drag%C3%A3o%20%288468978586%29.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>2</td></tr><tr><td><b>Stadium:</b></td><td>Estádio do Dragão</td></tr><tr><td><b>Capacity:</b></td><td>50431</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q131209","http://www.wikidata.org/entity/Q131209","12500",16.386694,48.162306,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Franz-Horr-Stadion-Panorama.jpg' width='300' />","FK Austria Wien","Generali Arena","unknown",1,"<h5>FK Austria Wien</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Franz-Horr-Stadion-Panorama.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Generali Arena</td></tr><tr><td><b>Capacity:</b></td><td>12500</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q131215","http://www.wikidata.org/entity/Q131215","18500",16.265278,48.197778,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Hanappi-Stadion%20Nord.jpg' width='300' />","SK Rapid Wien","Gerhard-Hanappi-stadium","unknown",1,"<h5>SK Rapid Wien</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Hanappi-Stadion%20Nord.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Gerhard-Hanappi-stadium</td></tr><tr><td><b>Capacity:</b></td><td>18500</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q131499","http://www.wikidata.org/entity/Q131499","65647",-9.184680555,38.752677777,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/LuzLissabon.jpg' width='300' />","S.L. Benfica","Estádio da Luz","unknown",3,"<h5>S.L. Benfica</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/LuzLissabon.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>3</td></tr><tr><td><b>Stadium:</b></td><td>Estádio da Luz</td></tr><tr><td><b>Capacity:</b></td><td>65647</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q131603","http://www.wikidata.org/entity/Q131603","66000",11.624752777,48.218775,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%BCnchen%20-%20Allianz-Arena%20%28Luftbild%29.jpg' width='300' />","TSV 1860 München","Allianz Arena","unknown",1,"<h5>TSV 1860 München</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%BCnchen%20-%20Allianz-Arena%20%28Luftbild%29.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Allianz Arena</td></tr><tr><td><b>Capacity:</b></td><td>66000</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q131603","http://www.wikidata.org/entity/Q131603","75000",11.624752777,48.218775,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%BCnchen%20-%20Allianz-Arena%20%28Luftbild%29.jpg' width='300' />","TSV 1860 München","Allianz Arena","unknown",1,"<h5>TSV 1860 München</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%BCnchen%20-%20Allianz-Arena%20%28Luftbild%29.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Allianz Arena</td></tr><tr><td><b>Capacity:</b></td><td>75000</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q132885","http://www.wikidata.org/entity/Q132885","67000",5.395833333,43.269722222,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20V%C3%A9lodrome%20%2820150405%29.jpg' width='300' />","Olympique de Marseille","Stade Vélodrome","unknown",2,"<h5>Olympique de Marseille</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20V%C3%A9lodrome%20%2820150405%29.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>2</td></tr><tr><td><b>Stadium:</b></td><td>Stade Vélodrome</td></tr><tr><td><b>Capacity:</b></td><td>67000</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q1339086","http://www.wikidata.org/entity/Q1339086","6000",26.5275,43.53361111,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Ludogorets%20Arena.jpg' width='300' />","PFC Ludogorets Razgrad","Ludogorets Arena","unknown",3,"<h5>PFC Ludogorets Razgrad</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Ludogorets%20Arena.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>3</td></tr><tr><td><b>Stadium:</b></td><td>Ludogorets Arena</td></tr><tr><td><b>Capacity:</b></td><td>6000</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q138230","http://www.wikidata.org/entity/Q138230","14234",28.972322,41.032806,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Stadion%20Kasimpasa.JPG' width='300' />","Kasımpaşa Spor Kulübü","Recep Tayyip Erdoğan Stadium","unknown",3,"<h5>Kasımpaşa Spor Kulübü</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Stadion%20Kasimpasa.JPG' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>3</td></tr><tr><td><b>Stadium:</b></td><td>Recep Tayyip Erdoğan Stadium</td></tr><tr><td><b>Capacity:</b></td><td>14234</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q140497","http://www.wikidata.org/entity/Q140497","16068",16.1975,51.413333,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Dialog%20Arena.jpg' width='300' />","Zagłębie Lubin","Stadion Zagłębia Lubin","unknown",1,"<h5>Zagłębie Lubin</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Dialog%20Arena.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Stadion Zagłębia Lubin</td></tr><tr><td><b>Capacity:</b></td><td>16068</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q1422","http://www.wikidata.org/entity/Q1422","41800",7.641247,45.109594,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Juventus%20stadium.jpg' width='300' />","Juventus F.C.","Juventus Stadium","<a href='https://twitter.com/juventusfces' target='_blank'>@juventusfces</a>",12,"<h5>Juventus F.C.</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Juventus%20stadium.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>12</td></tr><tr><td><b>Stadium:</b></td><td>Juventus Stadium</td></tr><tr><td><b>Capacity:</b></td><td>41800</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/juventusfces' target='_blank'>@juventusfces</a></td></tr></table>"
"Q1457","http://www.wikidata.org/entity/Q1457","36703",8.952428,44.416431,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Stadio%20Luigi%20Ferraris%20da%20mura%20S.%20Bartolomeo.jpg' width='300' />","Unione Calcio Sampdoria","Stadio Luigi Ferraris","<a href='https://twitter.com/sampdoria' target='_blank'>@sampdoria</a>",1,"<h5>Unione Calcio Sampdoria</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Stadio%20Luigi%20Ferraris%20da%20mura%20S.%20Bartolomeo.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Stadio Luigi Ferraris</td></tr><tr><td><b>Capacity:</b></td><td>36703</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/sampdoria' target='_blank'>@sampdoria</a></td></tr></table>"
"Q1543","http://www.wikidata.org/entity/Q1543","26000",9.124,45.47808,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Scudo2009.jpg' width='300' />","A.C. Milan","Stadio Giuseppe Meazza","<a href='https://twitter.com/acmilan' target='_blank'>@acmilan</a>",2,"<h5>A.C. Milan</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Scudo2009.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>2</td></tr><tr><td><b>Stadium:</b></td><td>Stadio Giuseppe Meazza</td></tr><tr><td><b>Capacity:</b></td><td>26000</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/acmilan' target='_blank'>@acmilan</a></td></tr></table>"
"Q15755","http://www.wikidata.org/entity/Q15755","30660",10.882344,48.322703,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Impuls%20Arena%20Augsburg%202011.jpg' width='300' />","FC Augsburg","WWK Arena","unknown",2,"<h5>FC Augsburg</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Impuls%20Arena%20Augsburg%202011.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>2</td></tr><tr><td><b>Stadium:</b></td><td>WWK Arena</td></tr><tr><td><b>Capacity:</b></td><td>30660</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q15786","http://www.wikidata.org/entity/Q15786","50000",11.125278,49.426389,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Frankenstadion%201.JPG' width='300' />","1. FC Nürnberg","Stadion Nürnberg","unknown",1,"<h5>1. FC Nürnberg</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Frankenstadion%201.JPG' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Stadion Nürnberg</td></tr><tr><td><b>Capacity:</b></td><td>50000</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q15789","http://www.wikidata.org/entity/Q15789","66000",11.624752777,48.218775,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%BCnchen%20-%20Allianz-Arena%20%28Luftbild%29.jpg' width='300' />","FC Bayern Munich","Allianz Arena","<a href='https://twitter.com/FCBayern' target='_blank'>@FCBayern</a>",9,"<h5>FC Bayern Munich</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%BCnchen%20-%20Allianz-Arena%20%28Luftbild%29.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>9</td></tr><tr><td><b>Stadium:</b></td><td>Allianz Arena</td></tr><tr><td><b>Capacity:</b></td><td>66000</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/FCBayern' target='_blank'>@FCBayern</a></td></tr></table>"
"Q15789","http://www.wikidata.org/entity/Q15789","75000",11.624752777,48.218775,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%BCnchen%20-%20Allianz-Arena%20%28Luftbild%29.jpg' width='300' />","FC Bayern Munich","Allianz Arena","<a href='https://twitter.com/FCBayern' target='_blank'>@FCBayern</a>",9,"<h5>FC Bayern Munich</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%BCnchen%20-%20Allianz-Arena%20%28Luftbild%29.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>9</td></tr><tr><td><b>Stadium:</b></td><td>Allianz Arena</td></tr><tr><td><b>Capacity:</b></td><td>75000</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/FCBayern' target='_blank'>@FCBayern</a></td></tr></table>"
"Q167615","http://www.wikidata.org/entity/Q167615","45757",-73.551944444,45.557777777,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Stade%20Olympique%203.jpg' width='300' />","Montreal Impact F.C.","Olympic Stadium of Montreal","<a href='https://twitter.com/impactmontreal' target='_blank'>@impactmontreal</a>",1,"<h5>Montreal Impact F.C.</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Stade%20Olympique%203.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Olympic Stadium of Montreal</td></tr><tr><td><b>Capacity:</b></td><td>45757</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/impactmontreal' target='_blank'>@impactmontreal</a></td></tr></table>"
"Q167615","http://www.wikidata.org/entity/Q167615","20521",-73.5525,45.563055555,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20Saputo.27.06.12.jpg' width='300' />","Montreal Impact F.C.","Saputo Stadium","<a href='https://twitter.com/impactmontreal' target='_blank'>@impactmontreal</a>",1,"<h5>Montreal Impact F.C.</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20Saputo.27.06.12.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Saputo Stadium</td></tr><tr><td><b>Capacity:</b></td><td>20521</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/impactmontreal' target='_blank'>@impactmontreal</a></td></tr></table>"
"Q170117","http://www.wikidata.org/entity/Q170117","15000",11.482344,48.750275,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Audi-Sportpark.jpg' width='300' />","FC Ingolstadt 04","Audi Sportpark","unknown",3,"<h5>FC Ingolstadt 04</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Audi-Sportpark.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>3</td></tr><tr><td><b>Stadium:</b></td><td>Audi Sportpark</td></tr><tr><td><b>Capacity:</b></td><td>15000</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q172476","http://www.wikidata.org/entity/Q172476","42566",-0.563333,44.896944,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Stade%20de%20Bordeaux%202014-11-16.jpg' width='300' />","F.C. Girondins de Bordeaux","Stade Bordeaux-Atlantique","unknown",1,"<h5>F.C. Girondins de Bordeaux</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Stade%20de%20Bordeaux%202014-11-16.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>1</td></tr><tr><td><b>Stadium:</b></td><td>Stade Bordeaux-Atlantique</td></tr><tr><td><b>Capacity:</b></td><td>42566</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
"Q172567","http://www.wikidata.org/entity/Q172567","41903",28.9947,41.0392,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Be%C5%9Fikta%C5%9F%20J.K.%20vs%20Bursaspor%2011%20April%202016%20%285%29.jpg' width='300' />","Beşiktaş J.K.","Vodafone Arena","<a href='https://twitter.com/Besiktas' target='_blank'>@Besiktas</a>",7,"<h5>Beşiktaş J.K.</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Be%C5%9Fikta%C5%9F%20J.K.%20vs%20Bursaspor%2011%20April%202016%20%285%29.jpg' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>7</td></tr><tr><td><b>Stadium:</b></td><td>Vodafone Arena</td></tr><tr><td><b>Capacity:</b></td><td>41903</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/Besiktas' target='_blank'>@Besiktas</a></td></tr></table>"
"Q172803","http://www.wikidata.org/entity/Q172803","60000",16.018077777,45.818858333,"","N.K. Dinamo Zagreb","Stadion Maksimir","<a href='https://twitter.com/NKDinamo1911' target='_blank'>@NKDinamo1911</a>",6,"<h5>N.K. Dinamo Zagreb</h5><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>6</td></tr><tr><td><b>Stadium:</b></td><td>Stadion Maksimir</td></tr><tr><td><b>Capacity:</b></td><td>60000</td></tr><tr><td><b>Twitter:</b></td><td><a href='https://twitter.com/NKDinamo1911' target='_blank'>@NKDinamo1911</a></td></tr></table>"
"Q172969","http://www.wikidata.org/entity/Q172969","52518",37.809722,48.020833,"<img src='http://commons.wikimedia.org/wiki/Special:FilePath/Donezk%20Donbass%20Arena%2009.JPG' width='300' />","FC Shakhtar Donetsk","Donbass Arena","unknown",7,"<h5>FC Shakhtar Donetsk</h5><img src='http://commons.wikimedia.org/wiki/Special:FilePath/Donezk%20Donbass%20Arena%2009.JPG' width='300' /><hr><table><tr><td><b>EURO 2016 Players:</b></td><td>7</td></tr><tr><td><b>Stadium:</b></td><td>Donbass Arena</td></tr><tr><td><b>Capacity:</b></td><td>52518</td></tr><tr><td><b>Twitter:</b></td><td>unknown</td></tr></table>"
