"0#0","Pos.","Player","Date of birth (age)","Caps","Goals","Club","player_url","name","club_name","club_name_detailed","club_url","country","wikidata_item"
11,"4FW","Martial, AnthonyAnthony Martial","(1995-12-05)5 December 1995 (aged 20)",9,0,"Manchester United","https://en.wikipedia.org/wiki/Anthony_Martial","Anthony Martial","Manchester United","Manchester United F.C.","https://en.wikipedia.org/wiki/Manchester_United_F.C.","France","https://www.wikidata.org/wiki/Q2091463"
12,"3MF","Schneiderlin, MorganMorgan Schneiderlin","(1989-11-08)8 November 1989 (aged 26)",15,0,"Manchester United","https://en.wikipedia.org/wiki/Morgan_Schneiderlin","Morgan Schneiderlin","Manchester United","Manchester United F.C.","https://en.wikipedia.org/wiki/Manchester_United_F.C.","France","https://www.wikidata.org/wiki/Q1361462"
13,"2DF","Mangala, EliaquimEliaquim Mangala","(1991-02-13)13 February 1991 (aged 25)",7,0,"Manchester City","https://en.wikipedia.org/wiki/Eliaquim_Mangala","Eliaquim Mangala","Manchester City","Manchester City F.C.","https://en.wikipedia.org/wiki/Manchester_City_F.C.","France","https://www.wikidata.org/wiki/Q579231"
14,"3MF","Matuidi, BlaiseBlaise Matuidi","(1987-04-09)9 April 1987 (aged 29)",44,8,"Paris Saint-Germain","https://en.wikipedia.org/wiki/Blaise_Matuidi","Blaise Matuidi","Paris Saint-Germain","Paris Saint-Germain F.C.","https://en.wikipedia.org/wiki/Paris_Saint-Germain_F.C.","France","https://www.wikidata.org/wiki/Q1921"
15,"3MF","Pogba, PaulPaul Pogba","(1993-03-15)15 March 1993 (aged 23)",31,5,"Juventus","https://en.wikipedia.org/wiki/Paul_Pogba","Paul Pogba","Juventus","Juventus F.C.","https://en.wikipedia.org/wiki/Juventus_F.C.","France","https://www.wikidata.org/wiki/Q129027"
16,"1GK","Mandanda, SteveSteve Mandanda","(1985-03-28)28 March 1985 (aged 31)",22,0,"Marseille","https://en.wikipedia.org/wiki/Steve_Mandanda","Steve Mandanda","Marseille","Olympique de Marseille","https://en.wikipedia.org/wiki/Olympique_de_Marseille","France","https://www.wikidata.org/wiki/Q1924"
17,"2DF","Digne, LucasLucas Digne","(1993-07-20)20 July 1993 (aged 22)",13,0,"Roma","https://en.wikipedia.org/wiki/Lucas_Digne","Lucas Digne","Roma","A.S. Roma","https://en.wikipedia.org/wiki/A.S._Roma","France","https://www.wikidata.org/wiki/Q72648"
18,"3MF","Sissoko, MoussaMoussa Sissoko","(1989-08-16)16 August 1989 (aged 26)",38,1,"Newcastle United","https://en.wikipedia.org/wiki/Moussa_Sissoko","Moussa Sissoko","Newcastle United","Newcastle United F.C.","https://en.wikipedia.org/wiki/Newcastle_United_F.C.","France","https://www.wikidata.org/wiki/Q60545"
19,"2DF","Sagna, BacaryBacary Sagna","(1983-02-14)14 February 1983 (aged 33)",57,0,"Manchester City","https://en.wikipedia.org/wiki/Bacary_Sagna","Bacary Sagna","Manchester City","Manchester City F.C.","https://en.wikipedia.org/wiki/Manchester_City_F.C.","France","https://www.wikidata.org/wiki/Q1938"
20,"4FW","Coman, KingsleyKingsley Coman","(1996-06-13)13 June 1996 (aged 19)",5,1,"Bayern Munich","https://en.wikipedia.org/wiki/Kingsley_Coman","Kingsley Coman","Bayern Munich","FC Bayern Munich","https://en.wikipedia.org/wiki/FC_Bayern_Munich","France","https://www.wikidata.org/wiki/Q6413296"
21,"2DF","Koscielny, LaurentLaurent Koscielny","(1985-09-10)10 September 1985 (aged 30)",29,1,"Arsenal","https://en.wikipedia.org/wiki/Laurent_Koscielny","Laurent Koscielny","Arsenal","Arsenal F.C.","https://en.wikipedia.org/wiki/Arsenal_F.C.","France","https://www.wikidata.org/wiki/Q1915"
22,"2DF","Umtiti, SamuelSamuel Umtiti","(1993-11-14)14 November 1993 (aged 22)",0,0,"Lyon","https://en.wikipedia.org/wiki/Samuel_Umtiti","Samuel Umtiti","Lyon","Olympique Lyonnais","https://en.wikipedia.org/wiki/Olympique_Lyonnais","France","https://www.wikidata.org/wiki/Q13308"
23,"1GK","Costil, BenoîtBenoît Costil","(1987-07-03)3 July 1987 (aged 28)",0,0,"Rennes","https://en.wikipedia.org/wiki/Beno%C3%AEt_Costil","Benoît Costil","Rennes","Stade Rennais F.C.","https://en.wikipedia.org/wiki/Stade_Rennais_F.C.","France","https://www.wikidata.org/wiki/Q818111"
1,"1GK","Costel Pantilimon","(1987-02-01)1 February 1987 (aged 29)",22,0,"Watford","https://en.wikipedia.org/wiki/Costel_Pantilimon","Costel Pantilimon","Watford","Watford F.C.","https://en.wikipedia.org/wiki/Watford_F.C.","Romania","https://www.wikidata.org/wiki/Q439309"
2,"2DF","Alexandru Mățel","(1989-10-17)17 October 1989 (aged 26)",16,0,"Dinamo Zagreb","https://en.wikipedia.org/wiki/Alexandru_M%C4%83%C8%9Bel","Alexandru Mățel","Dinamo Zagreb","GNK Dinamo Zagreb","https://en.wikipedia.org/wiki/GNK_Dinamo_Zagreb","Romania","https://www.wikidata.org/wiki/Q558361"
3,"2DF","Răzvan Raț","(1981-05-26)26 May 1981 (aged 35)",111,2,"Rayo Vallecano","https://en.wikipedia.org/wiki/R%C4%83zvan_Ra%C8%9B","Răzvan Raț","Rayo Vallecano","Rayo Vallecano","https://en.wikipedia.org/wiki/Rayo_Vallecano","Romania","https://www.wikidata.org/wiki/Q313149"
4,"2DF","Cosmin Moți","(1984-12-03)3 December 1984 (aged 31)",8,0,"Ludogorets Razgrad","https://en.wikipedia.org/wiki/Cosmin_Mo%C8%9Bi","Cosmin Moți","Ludogorets Razgrad","PFC Ludogorets Razgrad","https://en.wikipedia.org/wiki/PFC_Ludogorets_Razgrad","Romania","https://www.wikidata.org/wiki/Q514341"
5,"3MF","Ovidiu Hoban","(1982-12-27)27 December 1982 (aged 33)",20,1,"Hapoel Be'er Sheva","https://en.wikipedia.org/wiki/Ovidiu_Hoban","Ovidiu Hoban","Hapoel Be'er Sheva","Hapoel Be'er Sheva F.C.","https://en.wikipedia.org/wiki/Hapoel_Be'er_Sheva_F.C.","Romania","https://www.wikidata.org/wiki/Q2363283"
6,"2DF","Vlad Chiricheș (captain)","(1989-11-14)14 November 1989 (aged 26)",40,0,"Napoli","https://en.wikipedia.org/wiki/Vlad_Chiriche%C8%99","Vlad Chiricheș","Napoli","S.S.C. Napoli","https://en.wikipedia.org/wiki/S.S.C._Napoli","Romania","https://www.wikidata.org/wiki/Q1849128"
7,"3MF","Alexandru Chipciu","(1989-05-18)18 May 1989 (aged 27)",21,3,"Steaua București","https://en.wikipedia.org/wiki/Alexandru_Chipciu","Alexandru Chipciu","Steaua București","FC Steaua București","https://en.wikipedia.org/wiki/FC_Steaua_Bucure%C8%99ti","Romania","https://www.wikidata.org/wiki/Q1346067"
8,"3MF","Mihai Pintilii","(1984-11-09)9 November 1984 (aged 31)",31,1,"Steaua București","https://en.wikipedia.org/wiki/Mihai_Pintilii","Mihai Pintilii","Steaua București","FC Steaua București","https://en.wikipedia.org/wiki/FC_Steaua_Bucure%C8%99ti","Romania","https://www.wikidata.org/wiki/Q1250828"
9,"4FW","Denis Alibec","(1991-01-05)5 January 1991 (aged 25)",4,1,"Astra Giurgiu","https://en.wikipedia.org/wiki/Denis_Alibec","Denis Alibec","Astra Giurgiu","FC Astra Giurgiu","https://en.wikipedia.org/wiki/FC_Astra_Giurgiu","Romania","https://www.wikidata.org/wiki/Q507368"
10,"3MF","Nicolae Stanciu","(1993-05-07)7 May 1993 (aged 23)",5,4,"Steaua București","https://en.wikipedia.org/wiki/Nicu%C8%99or_Stanciu","Nicușor Stanciu","Steaua București","FC Steaua București","https://en.wikipedia.org/wiki/FC_Steaua_Bucure%C8%99ti","Romania","https://www.wikidata.org/wiki/Q464694"
11,"3MF","Gabriel Torje","(1989-11-22)22 November 1989 (aged 26)",50,11,"Osmanlıspor","https://en.wikipedia.org/wiki/Gabriel_Torje","Gabriel Torje","Osmanlıspor","Osmanlıspor","https://en.wikipedia.org/wiki/Osmanl%C4%B1spor","Romania","https://www.wikidata.org/wiki/Q455905"
12,"1GK","Ciprian Tătărușanu","(1986-02-09)9 February 1986 (aged 30)",36,0,"Fiorentina","https://en.wikipedia.org/wiki/Ciprian_T%C4%83t%C4%83ru%C8%99anu","Ciprian Tătărușanu","Fiorentina","ACF Fiorentina","https://en.wikipedia.org/wiki/ACF_Fiorentina","Romania","https://www.wikidata.org/wiki/Q614334"
13,"4FW","Claudiu Keșerü","(1986-12-02)2 December 1986 (aged 29)",13,5,"Ludogorets Razgrad","https://en.wikipedia.org/wiki/Claudiu_Ke%C8%99er%C3%BC","Claudiu Keșerü","Ludogorets Razgrad","PFC Ludogorets Razgrad","https://en.wikipedia.org/wiki/PFC_Ludogorets_Razgrad","Romania","https://www.wikidata.org/wiki/Q1098247"
14,"4FW","Florin Andone","(1993-04-11)11 April 1993 (aged 23)",6,1,"Córdoba","https://en.wikipedia.org/wiki/Florin_Andone","Florin Andone","Córdoba","Córdoba CF","https://en.wikipedia.org/wiki/C%C3%B3rdoba_CF","Romania","https://www.wikidata.org/wiki/Q18223242"
15,"2DF","Valerică Găman","(1989-02-25)25 February 1989 (aged 27)",13,1,"Astra Giurgiu","https://en.wikipedia.org/wiki/Valeric%C4%83_G%C4%83man","Valerică Găman","Astra Giurgiu","FC Astra Giurgiu","https://en.wikipedia.org/wiki/FC_Astra_Giurgiu","Romania","https://www.wikidata.org/wiki/Q1356558"
16,"2DF","Steliano Filip","(1994-05-15)15 May 1994 (aged 22)",4,0,"Dinamo București","https://en.wikipedia.org/wiki/Steliano_Filip","Steliano Filip","Dinamo București","FC Dinamo București","https://en.wikipedia.org/wiki/FC_Dinamo_Bucure%C8%99ti","Romania","https://www.wikidata.org/wiki/Q793858"
17,"3MF","Lucian Sânmărtean","(1980-03-13)13 March 1980 (aged 36)",20,0,"Al-Ittihad","https://en.wikipedia.org/wiki/Lucian_S%C3%A2nm%C4%83rtean","Lucian Sânmărtean","Al-Ittihad","Ittihad FC","https://en.wikipedia.org/wiki/Ittihad_FC","Romania","https://www.wikidata.org/wiki/Q1873272"
18,"3MF","Andrei Prepeliță","(1985-12-08)8 December 1985 (aged 30)",10,0,"Ludogorets Razgrad","https://en.wikipedia.org/wiki/Andrei_Prepeli%C8%9B%C4%83","Andrei Prepeliță","Ludogorets Razgrad","PFC Ludogorets Razgrad","https://en.wikipedia.org/wiki/PFC_Ludogorets_Razgrad","Romania","https://www.wikidata.org/wiki/Q451818"
19,"4FW","Bogdan Stancu","(1987-06-28)28 June 1987 (aged 28)",40,9,"Gençlerbirliği","https://en.wikipedia.org/wiki/Bogdan_Stancu","Bogdan Stancu","Gençlerbirliği","Gençlerbirliği S.K.","https://en.wikipedia.org/wiki/Gen%C3%A7lerbirli%C4%9Fi_S.K.","Romania","https://www.wikidata.org/wiki/Q681913"
20,"3MF","Adrian Popa","(1988-07-24)24 July 1988 (aged 27)",14,1,"Steaua București","https://en.wikipedia.org/wiki/Adrian_Popa_(footballer,_born_1988)","Adrian Popa (footballer, born 1988)","Steaua București","FC Steaua București","https://en.wikipedia.org/wiki/FC_Steaua_Bucure%C8%99ti","Romania","https://www.wikidata.org/wiki/Q3079005"
21,"2DF","Dragoș Grigore","(1986-09-07)7 September 1986 (aged 29)",20,0,"Al-Sailiya","https://en.wikipedia.org/wiki/Drago%C8%99_Grigore","Dragoș Grigore","Al-Sailiya","Al-Sailiya SC","https://en.wikipedia.org/wiki/Al-Sailiya_SC","Romania","https://www.wikidata.org/wiki/Q961203"
22,"2DF","Cristian Săpunaru","(1984-04-05)5 April 1984 (aged 32)",13,0,"Pandurii Târgu Jiu","https://en.wikipedia.org/wiki/Cristian_S%C4%83punaru","Cristian Săpunaru","Pandurii Târgu Jiu","CS Pandurii Târgu Jiu","https://en.wikipedia.org/wiki/CS_Pandurii_T%C3%A2rgu_Jiu","Romania","https://www.wikidata.org/wiki/Q377899"
23,"1GK","Silviu Lung Jr.","(1989-06-04)4 June 1989 (aged 27)",3,0,"Astra Giurgiu","https://en.wikipedia.org/wiki/Silviu_Lung_Jr.","Silviu Lung Jr.","Astra Giurgiu","FC Astra Giurgiu","https://en.wikipedia.org/wiki/FC_Astra_Giurgiu","Romania","https://www.wikidata.org/wiki/Q980747"
1,"1GK","Etrit Berisha","(1989-03-10)10 March 1989 (aged 27)",35,0,"Lazio","https://en.wikipedia.org/wiki/Etrit_Berisha","Etrit Berisha","Lazio","S.S. Lazio","https://en.wikipedia.org/wiki/S.S._Lazio","Albania","https://www.wikidata.org/wiki/Q1523030"
2,"2DF","Andi Lila","(1986-02-12)12 February 1986 (aged 30)",58,0,"PAS Giannina","https://en.wikipedia.org/wiki/Andi_Lila","Andi Lila","PAS Giannina","PAS Giannina F.C.","https://en.wikipedia.org/wiki/PAS_Giannina_F.C.","Albania","https://www.wikidata.org/wiki/Q2725063"
3,"3MF","Ermir Lenjani","(1989-08-05)5 August 1989 (aged 26)",19,3,"Nantes","https://en.wikipedia.org/wiki/Ermir_Lenjani","Ermir Lenjani","Nantes","FC Nantes","https://en.wikipedia.org/wiki/FC_Nantes","Albania","https://www.wikidata.org/wiki/Q6068571"
4,"2DF","Elseid Hysaj","(1994-02-20)20 February 1994 (aged 22)",20,0,"Napoli","https://en.wikipedia.org/wiki/Elseid_Hysaj","Elseid Hysaj","Napoli","S.S.C. Napoli","https://en.wikipedia.org/wiki/S.S.C._Napoli","Albania","https://www.wikidata.org/wiki/Q5367516"
5,"2DF","Lorik Cana (captain)","(1983-06-27)27 June 1983 (aged 32)",91,1,"Nantes","https://en.wikipedia.org/wiki/Lorik_Cana","Lorik Cana","Nantes","FC Nantes","https://en.wikipedia.org/wiki/FC_Nantes","Albania","https://www.wikidata.org/wiki/Q311155"
6,"2DF","Freddie Veseli","(1992-11-20)20 November 1992 (aged 23)",3,0,"Lugano","https://en.wikipedia.org/wiki/Freddie_Veseli","Freddie Veseli","Lugano","FC Lugano","https://en.wikipedia.org/wiki/FC_Lugano","Albania","https://www.wikidata.org/wiki/Q3090268"
7,"2DF","Ansi Agolli","(1982-11-11)11 November 1982 (aged 33)",61,2,"Qarabağ","https://en.wikipedia.org/wiki/Ansi_Agolli","Ansi Agolli","Qarabağ","Qarabağ FK","https://en.wikipedia.org/wiki/Qaraba%C4%9F_FK","Albania","https://www.wikidata.org/wiki/Q2329951"
8,"3MF","Migjen Basha","(1987-01-05)5 January 1987 (aged 29)",19,3,"Como","https://en.wikipedia.org/wiki/Migjen_Basha","Migjen Basha","Como","Calcio Como","https://en.wikipedia.org/wiki/Calcio_Como","Albania","https://www.wikidata.org/wiki/Q1467831"
9,"3MF","Ledian Memushaj","(1986-12-07)7 December 1986 (aged 29)",14,0,"Pescara","https://en.wikipedia.org/wiki/Ledian_Memushaj","Ledian Memushaj","Pescara","Delfino Pescara 1936","https://en.wikipedia.org/wiki/Delfino_Pescara_1936","Albania","https://www.wikidata.org/wiki/Q3829352"
10,"4FW","Armando Sadiku","(1991-05-27)27 May 1991 (aged 25)",20,5,"Vaduz","https://en.wikipedia.org/wiki/Armando_Sadiku","Armando Sadiku","Vaduz","FC Vaduz","https://en.wikipedia.org/wiki/FC_Vaduz","Albania","https://www.wikidata.org/wiki/Q2015958"
11,"4FW","Shkëlzen Gashi","(1988-07-15)15 July 1988 (aged 27)",14,1,"Colorado Rapids","https://en.wikipedia.org/wiki/Shk%C3%ABlzen_Gashi","Shkëlzen Gashi","Colorado Rapids","Colorado Rapids","https://en.wikipedia.org/wiki/Colorado_Rapids","Albania","https://www.wikidata.org/wiki/Q203816"
12,"1GK","Orges Shehi","(1977-09-25)25 September 1977 (aged 38)",7,0,"Skënderbeu Korçë","https://en.wikipedia.org/wiki/Orges_Shehi","Orges Shehi","Skënderbeu Korçë","KF Skënderbeu Korçë","https://en.wikipedia.org/wiki/KF_Sk%C3%ABnderbeu_Kor%C3%A7%C3%AB","Albania","https://www.wikidata.org/wiki/Q2990823"
13,"3MF","Burim Kukeli","(1984-01-16)16 January 1984 (aged 32)",15,0,"Zürich","https://en.wikipedia.org/wiki/Burim_Kukeli","Burim Kukeli","Zürich","FC Zürich","https://en.wikipedia.org/wiki/FC_Z%C3%BCrich","Albania","https://www.wikidata.org/wiki/Q1016305"
14,"3MF","Taulant Xhaka","(1991-03-28)28 March 1991 (aged 25)",12,0,"Basel","https://en.wikipedia.org/wiki/Taulant_Xhaka","Taulant Xhaka","Basel","FC Basel","https://en.wikipedia.org/wiki/FC_Basel","Albania","https://www.wikidata.org/wiki/Q666169"
15,"2DF","Mërgim Mavraj","(1986-06-09)9 June 1986 (aged 30)",26,3,"1. FC Köln","https://en.wikipedia.org/wiki/M%C3%ABrgim_Mavraj","Mërgim Mavraj","1. FC Köln","1. FC Köln","https://en.wikipedia.org/wiki/1._FC_K%C3%B6ln","Albania","https://www.wikidata.org/wiki/Q667535"
16,"4FW","Sokol Cikalleshi","(1990-07-27)27 July 1990 (aged 25)",19,2,"İstanbul Başakşehir","https://en.wikipedia.org/wiki/Sokol_Cikalleshi","Sokol Cikalleshi","İstanbul Başakşehir","İstanbul Başakşehir F.K.","https://en.wikipedia.org/wiki/%C4%B0stanbul_Ba%C5%9Fak%C5%9Fehir_F.K.","Albania","https://www.wikidata.org/wiki/Q7555159"
17,"2DF","Naser Aliji","(1993-12-27)27 December 1993 (aged 22)",5,0,"Basel","https://en.wikipedia.org/wiki/Naser_Aliji","Naser Aliji","Basel","FC Basel","https://en.wikipedia.org/wiki/FC_Basel","Albania","https://www.wikidata.org/wiki/Q16150184"
18,"2DF","Arlind Ajeti","(1993-09-25)25 September 1993 (aged 22)",10,1,"Frosinone","https://en.wikipedia.org/wiki/Arlind_Ajeti","Arlind Ajeti","Frosinone","Frosinone Calcio","https://en.wikipedia.org/wiki/Frosinone_Calcio","Albania","https://www.wikidata.org/wiki/Q675426"
19,"4FW","Bekim Balaj","(1991-01-11)11 January 1991 (aged 25)",15,1,"Rijeka","https://en.wikipedia.org/wiki/Bekim_Balaj","Bekim Balaj","Rijeka","HNK Rijeka","https://en.wikipedia.org/wiki/HNK_Rijeka","Albania","https://www.wikidata.org/wiki/Q113841"
20,"3MF","Ergys Kaçe","(1993-07-08)8 July 1993 (aged 22)",16,2,"PAOK","https://en.wikipedia.org/wiki/Ergys_Ka%C3%A7e","Ergys Kaçe","PAOK","PAOK FC","https://en.wikipedia.org/wiki/PAOK_FC","Albania","https://www.wikidata.org/wiki/Q317549"
21,"3MF","Odise Roshi","(1991-05-21)21 May 1991 (aged 25)",32,1,"Rijeka","https://en.wikipedia.org/wiki/Odise_Roshi","Odise Roshi","Rijeka","HNK Rijeka","https://en.wikipedia.org/wiki/HNK_Rijeka","Albania","https://www.wikidata.org/wiki/Q978923"
22,"3MF","Amir Abrashi","(1990-03-27)27 March 1990 (aged 26)",18,0,"SC Freiburg","https://en.wikipedia.org/wiki/Amir_Abrashi","Amir Abrashi","SC Freiburg","SC Freiburg","https://en.wikipedia.org/wiki/SC_Freiburg","Albania","https://www.wikidata.org/wiki/Q471956"
23,"1GK","Alban Hoxha","(1987-11-23)23 November 1987 (aged 28)",1,0,"Partizani Tirana","https://en.wikipedia.org/wiki/Alban_Hoxha","Alban Hoxha","Partizani Tirana","FK Partizani Tirana","https://en.wikipedia.org/wiki/FK_Partizani_Tirana","Albania","https://www.wikidata.org/wiki/Q3607857"
1,"1GK","Yann Sommer","(1988-12-07)7 December 1988 (aged 27)",18,0,"Borussia Mönchengladbach","https://en.wikipedia.org/wiki/Yann_Sommer","Yann Sommer","Borussia Mönchengladbach","Borussia Mönchengladbach","https://en.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach","Switzerland","https://www.wikidata.org/wiki/Q667596"
2,"2DF","Stephan Lichtsteiner (captain)","(1984-01-16)16 January 1984 (aged 32)",81,5,"Juventus","https://en.wikipedia.org/wiki/Stephan_Lichtsteiner","Stephan Lichtsteiner","Juventus","Juventus F.C.","https://en.wikipedia.org/wiki/Juventus_F.C.","Switzerland","https://www.wikidata.org/wiki/Q208586"
3,"2DF","François Moubandje","(1990-06-21)21 June 1990 (aged 25)",11,0,"Toulouse","https://en.wikipedia.org/wiki/Fran%C3%A7ois_Moubandje","François Moubandje","Toulouse","Toulouse F.C.","https://en.wikipedia.org/wiki/Toulouse_F.C.","Switzerland","https://www.wikidata.org/wiki/Q3085424"
4,"2DF","Nico Elvedi","(1996-09-30)30 September 1996 (aged 19)",1,0,"Borussia Mönchengladbach","https://en.wikipedia.org/wiki/Nico_Elvedi","Nico Elvedi","Borussia Mönchengladbach","Borussia Mönchengladbach","https://en.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach","Switzerland","https://www.wikidata.org/wiki/Q18637339"
5,"2DF","Steve von Bergen","(1983-06-10)10 June 1983 (aged 33)",50,0,"Young Boys","https://en.wikipedia.org/wiki/Steve_von_Bergen","Steve von Bergen","Young Boys","BSC Young Boys","https://en.wikipedia.org/wiki/BSC_Young_Boys","Switzerland","https://www.wikidata.org/wiki/Q316591"
6,"2DF","Michael Lang","(1991-02-08)08 February 1991 (aged 25)",17,2,"Basel","https://en.wikipedia.org/wiki/Michael_Lang_(footballer)","Michael Lang (footballer)","Basel","FC Basel","https://en.wikipedia.org/wiki/FC_Basel","Switzerland","https://www.wikidata.org/wiki/Q679530"
7,"4FW","Breel Embolo","(1997-02-14)14 February 1997 (aged 19)",10,1,"Basel","https://en.wikipedia.org/wiki/Breel_Embolo","Breel Embolo","Basel","FC Basel","https://en.wikipedia.org/wiki/FC_Basel","Switzerland","https://www.wikidata.org/wiki/Q15956282"
8,"3MF","Fabian Frei","(1989-01-08)8 January 1989 (aged 27)",8,1,"Mainz 05","https://en.wikipedia.org/wiki/Fabian_Frei","Fabian Frei","Mainz 05","1. FSV Mainz 05","https://en.wikipedia.org/wiki/1._FSV_Mainz_05","Switzerland","https://www.wikidata.org/wiki/Q675878"
9,"4FW","Haris Seferović","(1992-02-22)22 February 1992 (aged 24)",30,7,"Eintracht Frankfurt","https://en.wikipedia.org/wiki/Haris_Seferovi%C4%87","Haris Seferović","Eintracht Frankfurt","Eintracht Frankfurt","https://en.wikipedia.org/wiki/Eintracht_Frankfurt","Switzerland","https://www.wikidata.org/wiki/Q283762"
10,"3MF","Granit Xhaka","(1992-09-27)27 September 1992 (aged 23)",43,6,"Borussia Mönchengladbach","https://en.wikipedia.org/wiki/Granit_Xhaka","Granit Xhaka","Borussia Mönchengladbach","Borussia Mönchengladbach","https://en.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach","Switzerland","https://www.wikidata.org/wiki/Q514427"
11,"3MF","Valon Behrami","(1985-04-19)19 April 1985 (aged 31)",66,2,"Watford","https://en.wikipedia.org/wiki/Valon_Behrami","Valon Behrami","Watford","Watford F.C.","https://en.wikipedia.org/wiki/Watford_F.C.","Switzerland","https://www.wikidata.org/wiki/Q217389"
12,"1GK","Marwin Hitz","(1987-09-18)18 September 1987 (aged 28)",2,0,"FC Augsburg","https://en.wikipedia.org/wiki/Marwin_Hitz","Marwin Hitz","FC Augsburg","FC Augsburg","https://en.wikipedia.org/wiki/FC_Augsburg","Switzerland","https://www.wikidata.org/wiki/Q691193"
13,"2DF","Ricardo Rodríguez","(1992-08-25)25 August 1992 (aged 23)",37,0,"VfL Wolfsburg","https://en.wikipedia.org/wiki/Ricardo_Rodr%C3%ADguez_(footballer)","Ricardo Rodríguez (footballer)","VfL Wolfsburg","VfL Wolfsburg","https://en.wikipedia.org/wiki/VfL_Wolfsburg","Switzerland","https://www.wikidata.org/wiki/Q666506"
14,"3MF","Denis Zakaria","(1996-11-20)20 November 1996 (aged 19)",2,0,"Young Boys","https://en.wikipedia.org/wiki/Denis_Zakaria","Denis Zakaria","Young Boys","BSC Young Boys","https://en.wikipedia.org/wiki/BSC_Young_Boys","Switzerland","https://www.wikidata.org/wiki/Q21066260"
15,"3MF","Blerim Džemaili","(1986-04-12)12 April 1986 (aged 30)",48,6,"Genoa","https://en.wikipedia.org/wiki/Blerim_D%C5%BEemaili","Blerim Džemaili","Genoa","Genoa C.F.C.","https://en.wikipedia.org/wiki/Genoa_C.F.C.","Switzerland","https://www.wikidata.org/wiki/Q253348"
